id	name	dimension	amount	unit	confidence	basis	flags
ing.dienstleistung	Dienstleistung und Fracht	keine			1.00	Dienstleistungen und Gutscheine haben kein Stückgewicht.	
ing.dieselkraftstoff	Dieselkraftstoff	ml			0.99	Kraftstoff wird nach Volumen verkauft.	
ing.dispersionsfarbe	Wandfarbe und Grundierung	ml			0.99	Farbe wird nach Volumen verkauft; keine feste Stückgröße.	
ing.doener.drehspiessfleisch.haehnchen	Drehspießfleisch Hähnchen	g			0.97	Fleisch wird nach Gewicht portioniert; Drehspieße variieren stark.	
ing.doener.drehspiessfleisch.kalb.rind	Drehspießfleisch Kalb/Rind	g			0.98	Fleisch wird nach Gewicht eingekauft, nicht als einheitliches Stück.	
ing.doenersauce	Dönersauce	g			0.99	Sauce wird nach Gewicht oder Gebindegröße bemessen.	
ing.druckertinte	Druckertinte	ml			0.99	Tinte wird nach Volumen gekauft; Patronenfüllmengen variieren.	
ing.druckpapier	Druckpapier, je Blatt	piece			1.00	Blattpapier im Pack, Blattzahl steht im Artikel	override
ing.duenger	Dünger	g			0.99	Dünger wird nach Gewicht oder Gebindegröße gekauft.	
ing.e.bike.handelsware	E-Bike, Handelsware	piece			0.99	Für E-Bikes gibt es kein einheitliches typisches Stückgewicht.	
ing.e.zigarette	E-Zigarette und Liquid	piece			0.99	E-Zigaretten, Liquids und Pods sind uneinheitliche Artikel.	
ing.eingelegtes.gemuese	Eingelegtes Gemüse	g			0.99	Sammelkategorie mit sehr unterschiedlichen Produkten, kein typisches Stück.	
ing.einstaerkenglas	Einstärkenglas	piece			0.98	Glasgewicht variiert stark nach Material und Sehstärke.	
ing.einstreu	Einstreu	g			0.99	Einstreu wird als Schütt- oder Sackware nach Gewicht gekauft.	
ing.einwegwerkzeug	Einwegwerkzeug (Klingen, Feilen, Tips)	piece			0.99	Sammelkategorie mit unterschiedlich großen Werkzeugen.	
ing.eiswaffel	Eiswaffel	piece	8	g	0.82	Eine einfache Eiswaffel wiegt typischerweise etwa 6–10 g.	spread 8/5
ing.elektroinstallationsmaterial	Elektroinstallationsmaterial	piece			0.99	Sammelkategorie mit sehr unterschiedlichen Bauteilen.	
ing.elektronikzubehoer.handelsware	Elektronikzubehör, Handelsware	piece			0.99	Sammelkategorie mit stark variierenden Artikeln.	
ing.energydrink	Energydrink	ml			0.99	Getränk wird nach Volumen bemessen; Gebindegrößen variieren.	
ing.entenfleisch	Enten- und Gänsefleisch	g			0.98	Ente, Keule und Brust sind unterschiedliche Zuschnitte.	
ing.enthaarungsmittel	Enthaarungsmittel	g			0.99	Enthaarungsmittel wird nach Gewicht oder Gebindegröße verkauft.	
ing.epoxidharz	Epoxidharz	g			0.99	Harz wird nach Gewicht oder Gebindegröße verkauft.	
ing.erdbeeren.schale	Erdbeeren, Schale	piece	500	g	0.99	Typische Erdbeerschale im Handel: 500 g.	
ing.erfrischungsgetraenk	Erfrischungsgetränk	ml			0.99	Getränke werden nach Volumen bemessen; Gebindegrößen variieren.	
ing.erfrischungsgetraenk.handelsware	Erfrischungsgetränk, Verkaufsflasche	piece			0.99	Verkaufsflaschen haben unterschiedliche, meist ausgewiesene Volumina.	
ing.essig	Essig	ml			0.99	Essig wird nach Volumen oder Gebindegröße verkauft.	
ing.fahrrad.ersatzteil	Fahrrad-Ersatzteil	piece			0.99	Sammelkategorie mit unterschiedlich schweren Ersatzteilen.	
ing.fahrrad.handelsware	Fahrrad, Handelsware	piece			0.99	Fahrräder unterscheiden sich stark nach Typ und Ausstattung.	
ing.fahrradbereifung	Fahrradbereifung	piece			0.98	Reifen und Schläuche variieren stark nach Radtyp und Größe.	
ing.fahrradzubehoer	Fahrradzubehör	piece			0.99	Sammelkategorie mit unterschiedlich schweren Zubehörartikeln.	
ing.falafelmasse	Falafelmasse	g			0.99	Falafelmasse wird nach Gewicht bemessen; Rezeptportionen sind keine Stückgröße.	
ing.fassbier	Fassbier	ml			0.99	Bier wird nach Volumen ausgeschenkt oder nach Fassgröße gekauft.	
ing.feingebaeck	Feingebäck	piece	70	g	0.72	Ein typisches einzelnes Croissant oder Gebäckstück wiegt etwa 60–80 g.	
ing.feingold	Feingold	g			0.99	Gold wird nach Gewicht berechnet, nicht als typisches Stück.	
ing.feinkostsalat	Feinkostsalat	keine			0.99	Feinkostsalat wird nach Gewicht oder in variierenden Gebinden verkauft.	
ing.feinschnitttabak	Feinschnitttabak	piece			0.99	Beutelgrößen variieren; kein einheitliches Einzelstück.	
ing.feinsilber	Feinsilber	g			0.99	Silber wird nach Gewicht berechnet, nicht als typisches Stück.	
ing.fertigcocktail	Fertigcocktail und Longdrink	keine			0.98	Fertigcocktails sind Getränke; Gebinde- und Portionsgrößen variieren.	
ing.fertiggericht	Fertiggericht	keine			0.95	Sammelkategorie mit stark variierenden Produkten und Portionsgrößen.	
ing.fertigsauce	Fertigsauce	g			0.99	Saucen werden nach Gewicht oder Gebindegröße gekauft.	
ing.feta	Feta und Grillkäse	g			0.99	Käse wird nach Gewicht oder Gebindegröße gekauft.	
ing.filament	3D-Druck-Filament	g			0.99	Filament wird als Spule nach Gewicht verkauft.	
ing.fladenbrot	Fladenbrot	piece	130	g	1.00	Dönerbrot/Pide-Viertel ca. 120–150 g, Pita/Naan 80–120 g	override
ing.flaschenbier	Flaschenbier	ml			0.99	Bier wird nach Volumen bemessen; Flaschengrößen variieren.	
ing.flaschenbier.handelsware	Flaschenbier, Verkaufsflasche	piece			0.99	Verkaufsflaschen haben unterschiedliche, meist ausgewiesene Volumina.	
ing.flaschenetikett	Flaschenetikett	piece			0.99	Etiketten sind Nicht-Lebensmittel ohne sinnvolles Stückgewicht für diese Schätzung.	
ing.flaschenverschluss	Flaschenverschluss	piece			0.99	Verschlussarten und Materialien variieren; kein relevantes typisches Stückgewicht.	
ing.fleischersatz	Fleischersatz	keine			0.95	Fleischersatz wird überwiegend nach Gewicht oder Packung verkauft.	
ing.flexfolie	Flexfolie für Textildruck	piece			0.99	Zuschnittgröße und Materialstärke variieren; kein typisches Stückgewicht.	
ing.fliese	Fliese	piece			0.99	Format und Stärke variieren; kein einheitliches Stückgewicht.	
ing.floristikbedarf	Floristikbedarf	piece			0.99	Sammelbegriff für unterschiedliche Materialien; kein typisches Stück.	
ing.fotopapier	Fotopapier, je Blatt	piece			0.98	Blattgewicht hängt stark vom Format und Papier ab.	
ing.freizeitbedarf	Freizeitbedarf, je Stück	piece			0.99	Sammelbegriff für sehr unterschiedliche Artikel.	
ing.frikadelle	Frikadelle und Fleischbällchen	keine	80	g	0.78	Eine typische Frikadelle liegt etwa bei 70–100 g.	
ing.frischkaese	Frischkäse	g			0.99	Wird nach Gewicht verkauft oder portioniert, nicht als einheitliches Stück.	
ing.frischobst	Frischobst	g	150	g	0.72	Apfel als häufige Sorte, typischerweise etwa 150 g pro Stück.	
ing.fruchtgemuese	Zucchini und Auberginen	g	300	g	0.70	Zucchini als häufige Sorte, meist etwa 250–350 g pro Stück.	
ing.fruchtpueree	Fruchtpüree	keine			0.99	Püree und Mus werden nach Gewicht bzw. Gebinde verkauft.	
ing.fruchtsaft	Fruchtsaft	ml			0.99	Wird nach Volumen ausgeschenkt oder verkauft.	
ing.futtermittel	Futtermittel	g			0.99	Wird nach Gewicht verkauft; kein typisches Einzelstück.	
ing.garn	Garn	g			0.95	Knäuelgrößen und Garngewichte variieren; keine einheitliche Stückgröße.	
ing.garnelen	Garnelen und Krabben	g			0.93	Sammelbegriff; Garnelen werden üblicherweise nach Gewicht verkauft.	
ing.gehoelz	Gehölz	piece			0.99	Pflanzenarten und Verkaufsgrößen unterscheiden sich stark.	
ing.gelatine	Gelatine	g			0.99	Pulver und Blattgelatine werden nach Gewicht beziehungsweise Packung verkauft.	
ing.geliermittel	Binde- und Geliermittel	keine			0.99	Pulver und Bindemittel werden nach Gewicht verkauft.	
ing.gesichtspflege	Gesichtsmaske und Peeling	g			0.99	Pflegeprodukte werden nach Inhalt dosiert, nicht stückweise gezählt.	
ing.getraenkekasten.handelsware	Getränkekasten, Handelsware	piece			0.98	Kastengrößen und Gebindeinhalt variieren; Getränke werden nach Volumen verkauft.	
ing.getraenkesirup	Getränkesirup	ml			0.99	Wird nach Volumen dosiert.	
ing.getreidebeilage	Getreidebeilage	g			0.99	Getreide und Flocken werden nach Gewicht portioniert.	
ing.gewuerzmischung	Gewürze	g			0.99	Gewürze werden nach Gewicht dosiert.	
ing.giessseifenbasis	Gießseifenbasis	g			0.98	Wird nach Gewicht abgewogen; Stückgröße richtet sich nach dem Gießprojekt.	
ing.gin	Gin	ml			0.99	Spirituose wird nach Volumen ausgeschenkt.	
ing.glasperlen	Glasperlen	g			0.99	Wird nach Gewicht oder Stückzahl verschiedener Perlengrößen verkauft.	
ing.gleitsichtglas	Gleitsichtglas	piece			0.96	Glasgewicht hängt von Stärke, Material und Form ab.	
ing.gluehwein	Glühwein	ml			0.99	Getränk wird nach Volumen ausgeschenkt.	
ing.grabkreuz	Grabkreuz	piece			0.99	Material und Abmessungen variieren stark.	
ing.grossformatmedium	Großformatmedium	piece			0.99	Format, Material und Zuschnitt variieren; kein typisches Stückgewicht.	
ing.gurken	Gurken	g	400	g	0.82	Salatgurke wiegt typischerweise etwa 350–450 g.	
ing.gyrosfleisch.schwein	Gyrosfleisch Schwein	g			0.99	Fleisch wird nach Gewicht verkauft und portioniert.	
ing.haarfarbe	Haarfarbe	g			0.99	Wird nach Gewicht beziehungsweise Inhalt dosiert.	
ing.haarfarbenentwickler	Entwickler und Umformmittel	ml			0.99	Wird nach Volumen dosiert.	
ing.haarpflegemittel	Haarpflegemittel für Salonanwendung	ml			0.99	Salonprodukte werden nach Volumen dosiert.	
ing.hackfleisch	Hackfleisch	g			0.98	Hackfleisch wird nach Gewicht verkauft; Burger und Frikadellen sind nur einzelne Aliasformen.	
ing.haehnchenfleisch	Hähnchenfleisch	g			1.00	Sammelware Brust, Keule, Flügel: nach Gewicht	override
ing.haehnchennugget	Hähnchennugget, je Stück	piece	20	g	0.78	Ein übliches Hähnchennugget wiegt etwa 15–25 g.	
ing.haferdrink	Pflanzendrink	ml			0.99	Pflanzendrink wird nach Volumen ausgeschenkt oder verkauft.	
ing.hartkaese	Hartkäse, gerieben	g			0.99	Geriebener Käse wird nach Gewicht verkauft und portioniert.	
ing.haushaltsware.handelsware	Haushalts- und Geschenkartikel, Handelsware	piece			0.99	Sammelbegriff für sehr unterschiedliche Haushalts- und Geschenkartikel.	
ing.hautpflegemittel	Hautpflege- und Massagemittel	ml			0.99	Pflege- und Massageprodukte werden nach Volumen dosiert.	
ing.holzkohle	Holzkohle	g			0.99	Brennstoff wird nach Gewicht verkauft.	
ing.holzlack	Lack und Holzöl	ml			0.99	Lack und Öl werden nach Volumen dosiert.	
ing.holzleim	Leim	ml			0.99	Handwerksmaterial, kein Lebensmittel mit sinnvollem Stückvolumen.	
ing.honig	Honig	g			0.99	Wird üblicherweise nach Gewicht abgefüllt oder entnommen.	
ing.hopfenpellets	Hopfenpellets	g			0.99	Lose Pellets werden nach Gewicht verkauft.	
ing.huehnerei	Hühnerei	piece	60	g	0.90	Ein Hühnerei Größe M wiegt etwa 53–63 g mit Schale.	
ing.huelsenfruechte	Hülsenfrüchte	g			0.98	Sammelbegriff für Hülsenfrüchte, üblicherweise nach Gewicht verkauft.	
ing.hummus	Hummus und Gemüsedip	g			0.99	Aufstriche und Dips werden nach Gewicht abgefüllt.	
ing.installationskabel	Installationskabel, je Meter	piece			0.99	Je Meter verkauft; Gewicht hängt stark von Kabeltyp und Querschnitt ab.	
ing.installationsrohr	Installationsrohr, je Meter	piece			0.99	Je Meter verkauft; Gewicht hängt stark von Rohrtyp und Durchmesser ab.	
ing.instantkaffee	Instantkaffee	g			0.99	Pulver wird nach Gewicht verkauft.	
ing.kaesealternative	Käsealternative, pflanzlich	keine			0.98	Käsealternativen werden nach Gewicht bzw. Packung verkauft.	
ing.kaesereikultur	Käsereikultur	g			0.99	Kultur wird nach Gewicht dosiert und verkauft.	
ing.kaffee	Röstkaffee	g			0.99	Kaffee wird nach Gewicht verkauft; Gebindegrößen variieren.	
ing.kakaomasse	Kakaomasse	g			0.99	Wird als Masse nach Gewicht verkauft.	
ing.kakaopulver	Kakaopulver	g			0.99	Pulver wird nach Gewicht verkauft.	
ing.kartoffeln	Kartoffeln	g			0.98	Kartoffeln sind hier als lose Ware nach Gewicht angegeben.	
ing.kartoffeln.sack	Kartoffeln, Sack	piece			0.99	Sackware; das Gebindegewicht ist produktabhängig und teils ausdrücklich angegeben.	null-split
ing.katzenstreu	Katzenstreu	g			0.99	Sackware wird nach Gewicht verkauft; kein sinnvolles Einzelstück.	
ing.kaviar	Kaviar und Fischrogen	keine			0.99	Rogen wird nach Gewicht oder im Glas verkauft.	
ing.keks	Keks und Dauerbackware	keine	10	g	0.62	Ein typischer Butterkeks wiegt ungefähr 8–12 g.	
ing.kellereihilfsstoff	Kellereihilfsstoff	g			0.99	Hilfsstoff wird nach Gewicht dosiert und verkauft.	
ing.keltergut	Keltergut	g			0.99	Rohware wird nach Gewicht oder Verarbeitungsausbeute bemessen.	
ing.keramikglasur	Keramikglasur	g			0.99	Glasur wird nach Gewicht verkauft und dosiert.	
ing.kerzenduftoel	Duftöl	ml			0.99	Duftöl wird nach Volumen abgefüllt.	
ing.kerzenwachs	Kerzenwachs	g			0.99	Wachs wird nach Gewicht verkauft und dosiert.	
ing.kerzenzubehoer	Kerzenzubehör	piece			0.99	Unspezifisches Zubehör; kein typisches Einzelstückgewicht bestimmbar.	
ing.ketchup	Ketchup und Grillsauce	g			0.99	Sauce wird nach Gewicht oder in variablen Gebinden verkauft.	
ing.kettenoel	Kettenöl	ml			0.99	Öl wird nach Volumen abgefüllt.	
ing.kfz.filter	Kfz-Filter	piece			0.99	Filter sind fahrzeugspezifisch und haben stark unterschiedliche Gewichte.	
ing.kfz.kleinteil	Kfz-Kleinteil	piece			0.99	Unspezifische Kfz-Teile haben kein typisches Stückgewicht.	
ing.kloesse	Klöße und Knödel	keine	100	g	0.76	Ein Kartoffelklöß typischer Handelsgröße wiegt etwa 90–120 g.	
ing.knabbergebaeck	Salzgebäck und Chips	keine			0.96	Chips und Salzgebäck werden überwiegend nach Packungsgewicht verkauft.	
ing.knoblauch	Knoblauch und Ingwer	g	50	g	1.00	Knoblauchknolle ca. 40–60 g	override
ing.kohlgemuese	Kohlgemüse	g			0.98	Sammelkategorie mit sehr unterschiedlichen Gemüsesorten und Stückgewichten.	null-split
ing.kokosmilch	Kokosmilch	ml			0.99	Wird nach Volumen in variablen Gebinden verkauft.	
ing.konfituere	Konfitüre	g			0.99	Konfitüre wird nach Gewicht abgefüllt; Gebindegrößen variieren.	
ing.kontaktlinsen	Kontaktlinsen	piece			0.99	Kein sinnvolles Stückgewicht für die Einkaufs- oder Umsatzschätzung.	
ing.kosmetik.verkaufsware	Kosmetik, Verkaufsware	piece			0.99	Verkaufsgebinde variieren; Produktmenge steht meist auf der Packung.	
ing.kraeuter	Frische Kräuter	g	40	g	1.00	Bund Petersilie/Dill ca. 30–50 g, Topf Basilikum ca. 25 g	override
ing.kuchen	Kuchen und Torte	keine			1.00	Stück oder ganzer Kuchen, 80 g bis 2 kg: nicht eindeutig	override
ing.kuvertuere	Kuvertüre und Nougat	g			0.99	Schokolade und Nougat werden nach Gewicht verkauft.	
ing.lab	Lab	ml			0.99	Lab wird nach Volumen dosiert und verkauft.	
ing.lachsfilet	Lachsfilet	g			0.99	Filetware wird nach Gewicht portioniert und verkauft.	null-split
ing.lammfleisch	Lammfleisch	g			0.99	Fleisch wird nach Gewicht verkauft; Zuschnitte variieren.	
ing.lebensmittel.handelsware	Lebensmittel, Handelsware	piece			0.99	Sammelbegriff für unterschiedlich verpackte Lebensmittel ohne typisches Stückgewicht.	
ing.leber	Leber	g			0.99	Leber und Leberprodukte werden nach Gewicht verkauft.	
ing.leberkaese	Leberkäse	g			0.99	Leberkäse wird nach Gewicht portioniert; Stückformate variieren.	
ing.leerflasche	Leerflasche	piece			0.99	Leeres Verpackungsgebinde, kein sinnvolles Stückgewicht für die Zutatenschätzung.	
ing.leergebinde	Leergebinde	piece			0.99	Leeres Verpackungsgebinde, kein sinnvolles Stückgewicht für die Zutatenschätzung.	
ing.likoer	Likör	ml			0.99	Likör wird nach Volumen dosiert, nicht stückweise.	
ing.likoerwein	Likörwein	keine			0.99	Likörwein wird nach Flaschenvolumen verkauft.	
ing.loeffelbiskuits	Löffelbiskuits	g			0.99	Nach Gewicht verwendete Backware, kein typisches Stück verlangt.	
ing.margarine	Margarine	keine			0.99	Margarine und Streichfett werden in variierenden Packungen verkauft.	
ing.mayonnaise	Mayonnaise und Remoulade	g			0.99	Sauce und Feinkost werden nach Gewicht portioniert.	
ing.medien.handelsware	Bücher, Zeitungen und Tonträger, Handelsware	piece			0.99	Handelsware außerhalb von Lebensmitteln, kein sinnvolles Stückgewicht.	
ing.mehl	Mehl	g			0.99	Unzählbare Trockenware, wird nach Gewicht verkauft und dosiert.	
ing.milchmischgetraenk	Milchmischgetränk	keine			0.97	Getränk mit unterschiedlichen Flaschen-, Becher- und Packungsgrößen.	
ing.milchpulver	Milchpulver	g			0.99	Pulver wird nach Gewicht dosiert, nicht stückweise.	
ing.mineralwasser	Mineralwasser	ml			0.99	Getränk wird nach Volumen abgegeben.	
ing.moertel.und.kleber	Mörtel und Kleber	g			0.99	Nicht-Lebensmittel und kein sinnvolles Stückgewicht.	
ing.motoroel	Motoröl	ml			0.99	Flüssigkeit wird nach Volumen berechnet.	
ing.motoroel.verkaufsflasche	Motoröl, Verkaufsflasche	piece			0.99	Nicht-Lebensmittel; Füllmenge der Verkaufsflasche ist bereits artikelbezogen.	
ing.mozzarella	Mozzarella	g	125	g	1.00	Mozzarella-Kugel 125 g	override
ing.muesli	Müsli und Cerealien	keine			0.99	Müsli und Cerealien werden nach Gewicht bzw. Packung verkauft.	
ing.muscheln	Muscheln	g			0.98	Sammelbegriff für verschiedene Muschelarten, üblicherweise nach Gewicht verkauft.	
ing.naehgarn	Nähgarn, Rolle	piece			0.99	Nicht-Lebensmittel; kein sinnvolles Stückgewicht für die Zutatenschätzung.	
ing.nagelmodellage.fluessig	Nagellack und Modellageflüssigkeit	ml			0.99	Kosmetikflüssigkeiten werden nach Volumen dosiert.	
ing.nagelmodellage.pulver	Modellagepulver und UV-Gel	g			0.99	Kosmetikpulver und Gel werden nach Gewicht dosiert.	
ing.naturjoghurt	Joghurt und Quark	g			0.99	Joghurt und Quark werden nach Gewicht portioniert.	
ing.nonfood	Ausstattung und Bedarf	keine			1.00	Ausstattung und Bedarf haben kein einheitliches sinnvolles Stückgewicht.	
ing.noriblatt	Noriblatt	piece	3	g	0.82	Ein Nori-Algenblatt wiegt typischerweise etwa 2–3 g.	
ing.nusskerne	Nüsse, Kerne und Trockenfrüchte	g			0.99	Sammelkategorie für lose Nüsse, Kerne und Trockenfrüchte, nach Gewicht verkauft.	
ing.nussmus	Sesam- und Nussmus	g			0.99	Mus und Cremes werden nach Gewicht portioniert.	
ing.oberbekleidung.handelsware	Oberbekleidung, Handelsware	piece			0.99	Nicht-Lebensmittel, kein sinnvolles Stückgewicht für die Zutatenschätzung.	
ing.obstkonserve	Obstkonserve	g			0.99	Konservenobst wird üblicherweise nach Gewicht verwendet; kein einzelnes Stück gemeint.	
ing.obstwein	Obstwein und Cidre	keine			0.99	Obstwein und Cidre werden nach Flaschenvolumen verkauft.	
ing.oliven	Oliven	g			0.99	Oliven werden typischerweise nach Gewicht portioniert.	
ing.olivenoel	Olivenöl	ml			0.99	Öl wird nach Volumen dosiert.	
ing.optikzubehoer	Optikzubehör	piece			0.99	Nicht-Lebensmittel, kein sinnvolles Stückgewicht für die Zutatenschätzung.	
ing.ottokraftstoff	Ottokraftstoff	ml			0.99	Kraftstoff wird nach Volumen verkauft.	
ing.paniermehl	Paniermehl	g			0.99	Trockenware wird nach Gewicht verkauft und dosiert.	
ing.paprika	Paprika	g	160	g	1.00	Gemüsepaprika ca. 150–200 g	override
ing.passierte.tomaten	Passierte Tomaten	g			0.99	Tomatenprodukte werden nach Gewicht verwendet, nicht stückweise.	
ing.pasta	Pasta, trocken	g			0.99	Trockene Pasta wird nach Gewicht portioniert.	
ing.pastete	Pastete und Terrine	keine			0.97	Pasteten und Terrinen werden nach Gewicht bzw. Packung verkauft.	
ing.pesto	Pesto	g			0.99	Pesto wird nach Gewicht portioniert.	
ing.pfand	Pfand und Leergut	keine			1.00	Pfand und Leergut sind keine Lebensmittel mit Stückgewicht.	
ing.pflanzenjoghurt	Pflanzlicher Joghurt und Dessert	keine			0.98	Joghurtalternativen werden in variierenden Bechern und Gebinden verkauft.	
ing.pflanzenoel	Pflanzenöl	ml			0.99	Öl wird nach Volumen dosiert.	
ing.pflanzensahne	Pflanzliche Koch- und Schlagcreme	keine			0.98	Koch- und Schlagcremes werden in variierenden Packungen verkauft.	
ing.pflanzerde	Pflanzerde und Mulch	g			0.99	Nicht-Lebensmittel; Erde wird nach Gewicht oder Gebinde verkauft.	
ing.pflasterstein	Pflasterstein	piece			0.99	Nicht-Lebensmittel, kein sinnvolles Stückgewicht für die Zutatenschätzung.	
ing.piercingschmuck	Piercingschmuck	piece			0.99	Nicht-Lebensmittel, kein sinnvolles Stückgewicht für die Zutatenschätzung.	
ing.pizzateigling	Pizzateigling	piece	250	g	0.78	Üblicher einzelner Pizzateigling für eine Standardpizza wiegt etwa 250 g.	
ing.pkw.bremsteile	Pkw-Bremsteile	piece			0.99	Nicht-Lebensmittel, kein sinnvolles Stückgewicht für die Zutatenschätzung.	
ing.pkw.reifen	Pkw-Reifen	piece			0.99	Nicht-Lebensmittel, kein sinnvolles Stückgewicht für die Zutatenschätzung.	
ing.pkw.starterbatterie	Pkw-Starterbatterie	piece			0.99	Nicht-Lebensmittel, kein sinnvolles Stückgewicht für die Zutatenschätzung.	
ing.pommes.frites	Pommes frites	g			0.99	Tiefkühlware wird üblicherweise nach Gewicht verkauft.	
ing.popcornmais	Popcornmais	g			0.99	Trockenware wird nach Gewicht verkauft.	
ing.praline	Praline und Konfekt	keine	12	g	0.69	Eine einzelne Praline wiegt typischerweise etwa 10–15 g.	
